Artist,Country,Type,Gender,Rating,Tags
"Tyler, The Creator",US,Person,Male,"{'value': 4.75, 'votes-count': 4}","[{'name': '_fix whosampled dupe url', 'count': 1}, {'count': 2, 'name': 'hardcore hip hop'}, {'count': 3, 'name': 'hip hop'}, {'name': 'horrorcore', 'count': 1}, {'count': 1, 'name': 'west coast hip hop'}]"
Lola Young,GB,Person,Female,"{'votes-count': 0, 'value': None}",[]
Ariana Grande,US,Person,Female,"{'value': 4.25, 'votes-count': 11}","[{'count': 2, 'name': 'contemporary r&b'}, {'count': 3, 'name': 'dance-pop'}, {'name': 'pop', 'count': 18}, {'count': 5, 'name': 'r&b'}, {'count': 1, 'name': 'trap soul'}]"
Gene Autry,US,Person,Male,"{'votes-count': 1, 'value': 4}","[{'name': 'christmas music', 'count': 1}, {'name': 'country', 'count': 3}, {'count': 1, 'name': 'country yodeling'}, {'count': 2, 'name': 'cowboy'}, {'count': 1, 'name': 'hillbilly'}, {'name': 'holiday music', 'count': 1}, {'name': 'traditional country', 'count': 1}, {'count': 1, 'name': 'western'}]"
Eagles,US,Group,,"{'votes-count': 14, 'value': 4.65}","[{'name': '2008 universal fire victim', 'count': 1}, {'count': 1, 'name': 'classic rock'}, {'name': 'country rock', 'count': 9}, {'count': 2, 'name': 'folk rock'}, {'count': 1, 'name': 'pop'}, {'name': 'pop rock', 'count': 1}, {'name': 'rock', 'count': 10}, {'name': 'soft rock', 'count': 2}]"
ROSÉ,KR,Person,Female,"{'value': 5, 'votes-count': 1}","[{'name': 'k-pop', 'count': 2}, {'count': 1, 'name': 'korean ballad'}]"
Tito Double P,,Person,Male,"{'value': 5, 'votes-count': 1}","[{'count': 1, 'name': 'corrido'}, {'name': 'latin', 'count': 1}, {'name': 'regional mexicano', 'count': 1}]"
The Weeknd,CA,Person,Male,"{'votes-count': 7, 'value': 4.85}","[{'count': 2, 'name': '2010s'}, {'count': 2, 'name': '2020s'}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'contemporary r&b', 'count': 5}, {'count': 3, 'name': 'dance-pop'}, {'name': 'hypnagogic pop', 'count': 1}, {'name': 'r&b', 'count': 7}, {'name': 'synth-pop', 'count': 3}]"
Ariana Grande,US,Person,Female,"{'value': 4.25, 'votes-count': 11}","[{'count': 2, 'name': 'contemporary r&b'}, {'count': 3, 'name': 'dance-pop'}, {'name': 'pop', 'count': 18}, {'count': 5, 'name': 'r&b'}, {'count': 1, 'name': 'trap soul'}]"
Cynthia Erivo,GB,Person,Female,"{'votes-count': 0, 'value': None}","[{'name': 'soul', 'count': 1}]"
Ariana Grande,US,Person,Female,"{'value': 4.25, 'votes-count': 11}","[{'count': 2, 'name': 'contemporary r&b'}, {'count': 3, 'name': 'dance-pop'}, {'count': 18, 'name': 'pop'}, {'name': 'r&b', 'count': 5}, {'name': 'trap soul', 'count': 1}]"
Gwen Stefani,US,Person,Female,"{'value': 3.75, 'votes-count': 4}","[{'count': 1, 'name': '2008 universal fire victim'}, {'count': 1, 'name': 'contemporary r&b'}, {'name': 'dance-pop', 'count': 2}, {'count': 1, 'name': 'electropop'}, {'count': 5, 'name': 'pop'}, {'count': 1, 'name': 'pop rap'}, {'count': 1, 'name': 'pop rock'}]"
Blake Shelton,US,Person,Male,"{'value': 4, 'votes-count': 1}","[{'count': 1, 'name': 'bro-country'}, {'name': 'contemporary country', 'count': 2}, {'count': 4, 'name': 'country'}, {'name': 'country pop', 'count': 1}]"
Teddy Swims,US,Person,Male,"{'value': 4, 'votes-count': 1}","[{'count': 1, 'name': 'alternative rock'}, {'name': 'country', 'count': 1}, {'count': 1, 'name': 'rhythm & blues'}, {'name': 'rock', 'count': 1}, {'count': 1, 'name': 'soul'}]"
John Williams,US,Person,Male,"{'votes-count': 8, 'value': 4.75}","[{'name': '2008 universal fire victim', 'count': 1}, {'count': 1, 'name': 'academy award winner'}, {'count': 1, 'name': 'american'}, {'count': 1, 'name': 'american composer'}, {'name': 'classical', 'count': 8}, {'name': 'composer', 'count': 5}, {'count': 3, 'name': 'conductor'}, {'name': 'contemporary classical', 'count': 2}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'name': 'film', 'count': 1}, {'count': 4, 'name': 'film composer'}, {'name': 'film score', 'count': 1}, {'name': 'film soundtrack', 'count': 1}, {'name': 'game', 'count': 1}, {'name': 'grammy winner', 'count': 1}, {'name': 'jazz', 'count': 1}, {'count': 2, 'name': 'modern classical'}, {'count': 4, 'name': 'orchestral'}, {'count': 1, 'name': 'pianist'}, {'name': 'saga', 'count': 1}, {'count': 3, 'name': 'score'}, {'count': 1, 'name': 'server name'}, {'name': 'soundtrack', 'count': 12}, {'count': 1, 'name': 'soundtracks'}, {'count': 1, 'name': 'star wars'}, {'count': 1, 'name': 'suboptimal credits'}, {'count': 1, 'name': 'vgm'}, {'name': 'video game', 'count': 1}, {'count': 1, 'name': 'western classical'}]"
Tito Double P,,Person,Male,"{'votes-count': 1, 'value': 5}","[{'name': 'corrido', 'count': 1}, {'count': 1, 'name': 'latin'}, {'name': 'regional mexicano', 'count': 1}]"
Peso Pluma,MX,Person,Male,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'corrido tumbado'}, {'name': 'regional mexicano', 'count': 1}]"
Vince Guaraldi Trio,US,Group,,"{'value': 5, 'votes-count': 2}","[{'count': 1, 'name': 'jazz'}]"
Elton John,GB,Person,Male,"{'votes-count': 13, 'value': 4.1}","[{'name': '2008 universal fire victim', 'count': 1}, {'name': 'adult contemporary', 'count': 4}, {'name': 'british', 'count': 2}, {'count': 8, 'name': 'piano rock'}, {'name': 'pop', 'count': 12}, {'name': 'pop rock', 'count': 8}, {'count': 4, 'name': 'rock'}, {'name': 'rock and roll', 'count': 2}, {'count': 2, 'name': 'singer-songwriter'}, {'name': 'singer/songwriter', 'count': 2}, {'name': 'soft rock', 'count': 2}]"
G‐Dragon,KR,Person,Male,"{'value': 2.75, 'votes-count': 4}","[{'count': 1, 'name': 'k-pop'}]"
TAEYANG,KR,Person,Male,"{'votes-count': 3, 'value': 5}","[{'name': 'k-pop', 'count': 2}]"
Daesung Kim,,Person,,"{'votes-count': 0, 'value': None}",[]
Gabito Ballesteros,MX,Person,Male,"{'value': None, 'votes-count': 0}",[]
Luis R. Conriquez,,Person,Male,"{'votes-count': 1, 'value': 5}","[{'count': 2, 'name': 'corrido'}, {'count': 1, 'name': 'corrido belico'}, {'count': 2, 'name': 'regional mexicano'}, {'count': 1, 'name': 'sierreño'}]"
The Neighbourhood,US,Group,,"{'votes-count': 1, 'value': 4}","[{'count': 2, 'name': 'alternative rock'}, {'name': 'indie pop', 'count': 3}, {'name': 'tumblr', 'count': 1}]"
Cris MJ,,Person,Male,"{'value': None, 'votes-count': 0}",[]
Linkin Park,US,Group,,"{'votes-count': 40, 'value': 4.35}","[{'count': 3, 'name': 'alt rock'}, {'name': 'alternative metal', 'count': 2}, {'name': 'alternative rock', 'count': 3}, {'count': 2, 'name': 'american'}, {'name': 'art rock', 'count': 1}, {'name': 'electropop', 'count': 1}, {'count': 10, 'name': 'metal'}, {'count': 24, 'name': 'nu metal'}, {'name': 'pop rock', 'count': 1}, {'name': 'rap metal', 'count': 4}, {'count': 10, 'name': 'rap rock'}, {'count': 2, 'name': 'rapcore'}, {'name': 'rock', 'count': 12}, {'name': 'usa', 'count': 1}]"
SZA,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'alternative r&b'}, {'count': 1, 'name': 'american'}, {'name': 'contemporary r&b', 'count': 2}, {'count': 1, 'name': 'electronic'}, {'name': 'hip hop soul', 'count': 1}, {'count': 1, 'name': 'neo soul'}, {'count': 1, 'name': 'pop'}, {'count': 2, 'name': 'r&b'}]"
Chris Rea,GB,Person,Male,"{'value': 4.4, 'votes-count': 5}","[{'name': 'blues', 'count': 5}, {'count': 5, 'name': 'blues rock'}, {'count': 2, 'name': 'british blues'}, {'name': 'electric blues', 'count': 1}, {'name': 'pop', 'count': 1}, {'name': 'pop rock', 'count': 3}, {'name': 'rock', 'count': 3}, {'count': 2, 'name': 'soft rock'}]"
Lord Huron,US,Group,,"{'votes-count': 0, 'value': None}","[{'name': 'indie folk', 'count': 2}, {'count': 2, 'name': 'indie rock'}, {'count': 1, 'name': 'nuno'}]"
Kelly Clarkson,US,Person,Female,"{'value': 4.5, 'votes-count': 2}","[{'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 4}, {'name': 'pop rock', 'count': 1}]"
Ariana Grande,US,Person,Female,"{'votes-count': 11, 'value': 4.25}","[{'name': 'contemporary r&b', 'count': 2}, {'name': 'dance-pop', 'count': 3}, {'count': 18, 'name': 'pop'}, {'count': 5, 'name': 'r&b'}, {'count': 1, 'name': 'trap soul'}]"
Teddy Swims,US,Person,Male,"{'value': 4, 'votes-count': 1}","[{'count': 1, 'name': 'alternative rock'}, {'name': 'country', 'count': 1}, {'name': 'rhythm & blues', 'count': 1}, {'count': 1, 'name': 'rock'}, {'count': 1, 'name': 'soul'}]"
The Weeknd,CA,Person,Male,"{'votes-count': 7, 'value': 4.85}","[{'name': '2010s', 'count': 2}, {'name': '2020s', 'count': 2}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'contemporary r&b', 'count': 5}, {'name': 'dance-pop', 'count': 3}, {'count': 1, 'name': 'hypnagogic pop'}, {'count': 7, 'name': 'r&b'}, {'count': 3, 'name': 'synth-pop'}]"
Lily‐Rose Depp,US,Person,Female,"{'votes-count': 0, 'value': None}",[]
Taylor Swift,US,Person,Female,"{'votes-count': 28, 'value': 4.05}","[{'count': 2, 'name': '2000s'}, {'name': '2010s', 'count': 6}, {'name': '2020s', 'count': 6}, {'name': 'alternative pop', 'count': 1}, {'name': 'artist of the decade', 'count': 2}, {'name': 'contemporary country', 'count': 5}, {'count': 20, 'name': 'country'}, {'name': 'country pop', 'count': 19}, {'count': 1, 'name': 'cultural icon'}, {'name': 'electropop', 'count': 1}, {'name': 'female vocals', 'count': 10}, {'name': 'icon', 'count': 6}, {'count': 2, 'name': 'indie folk'}, {'name': 'late 2000s', 'count': 2}, {'name': 'nuno', 'count': 1}, {'name': 'pop', 'count': 34}, {'count': 6, 'name': 'pop rock'}, {'count': 1, 'name': 're-recording'}, {'name': 'singer-songwriter', 'count': 5}, {'name': 'singer/songwriter', 'count': 14}, {'count': 4, 'name': 'synth-pop'}]"
Tito Double P,,Person,Male,"{'votes-count': 1, 'value': 5}","[{'name': 'corrido', 'count': 1}, {'count': 1, 'name': 'latin'}, {'name': 'regional mexicano', 'count': 1}]"
Bing Crosby,US,Person,Male,"{'value': 3, 'votes-count': 3}","[{'name': '2008 universal fire victim', 'count': 1}, {'name': 'american', 'count': 1}, {'count': 1, 'name': 'film soundtrack'}, {'count': 4, 'name': 'jazz'}, {'count': 2, 'name': 'pop'}, {'name': 'standards', 'count': 1}, {'name': 'traditional pop', 'count': 1}, {'count': 2, 'name': 'vocal jazz'}]"
The Andrews Sisters,US,Group,,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': '2008 universal fire victim'}, {'name': '60th anniversary', 'count': 1}, {'name': 'andrews sisters', 'count': 1}, {'name': 'jazz', 'count': 1}]"
TWICE,KR,Group,,"{'votes-count': 5, 'value': 4.8}","[{'name': '3rd gen k-pop', 'count': 2}, {'count': 4, 'name': 'dance'}, {'count': 1, 'name': 'electronica'}, {'count': 7, 'name': 'girl group'}, {'count': 10, 'name': 'k-pop'}, {'name': 'korean', 'count': 2}, {'count': 5, 'name': 'pop'}, {'name': 'r&b', 'count': 2}]"
Megan Thee Stallion,US,Person,Female,"{'value': None, 'votes-count': 0}","[{'name': 'english', 'count': 1}, {'count': 2, 'name': 'hip hop'}, {'count': 2, 'name': 'pop rap'}, {'count': 1, 'name': 'rap'}, {'name': 'southern hip hop', 'count': 2}, {'name': 'trap', 'count': 1}]"
Sabrina Carpenter,US,Person,Female,"{'value': 5, 'votes-count': 4}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'electropop', 'count': 1}, {'name': 'pop', 'count': 4}]"
Myke Towers,PR,Person,Male,"{'value': None, 'votes-count': 0}","[{'name': 'latin', 'count': 1}, {'count': 1, 'name': 'latin urban'}, {'count': 1, 'name': 'reggaeton'}, {'count': 1, 'name': 'trap latino'}]"
benny blanco,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'english'}, {'count': 2, 'name': 'pop'}]"
Tommy Richman,,Person,Male,"{'value': None, 'votes-count': 0}",[]
Feid,CO,Person,Male,"{'value': 4.5, 'votes-count': 2}","[{'count': 2, 'name': 'latin'}, {'name': 'latin urban', 'count': 2}, {'count': 2, 'name': 'reggaeton'}, {'name': 'trap latino', 'count': 1}]"
ATL Jacob,,Person,Male,"{'value': None, 'votes-count': 0}",[]
"Tyler, The Creator",US,Person,Male,"{'votes-count': 4, 'value': 4.75}","[{'name': '_fix whosampled dupe url', 'count': 1}, {'count': 2, 'name': 'hardcore hip hop'}, {'name': 'hip hop', 'count': 3}, {'name': 'horrorcore', 'count': 1}, {'count': 1, 'name': 'west coast hip hop'}]"
Kali Uchis,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'alternative r&b'}, {'count': 1, 'name': 'contemporary r&b'}, {'name': 'latin pop', 'count': 1}, {'count': 1, 'name': 'neo soul'}]"
Frank Sinatra,US,Person,Male,"{'votes-count': 10, 'value': 4.1}","[{'count': 2, 'name': 'big band'}, {'count': 1, 'name': 'christmas'}, {'name': 'christmas music', 'count': 2}, {'count': 1, 'name': 'easy listening'}, {'name': 'jazz', 'count': 9}, {'name': 'standards', 'count': 2}, {'count': 7, 'name': 'swing'}, {'count': 4, 'name': 'traditional pop'}, {'name': 'vocal', 'count': 1}, {'name': 'vocal jazz', 'count': 5}]"
Bruno Mars,US,Person,Male,"{'votes-count': 4, 'value': 3.75}","[{'count': 1, 'name': '2010s'}, {'count': 4, 'name': 'funk'}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'name': 'r&b', 'count': 2}, {'count': 1, 'name': 'relic inn'}, {'name': 'rock', 'count': 1}, {'name': 'soul', 'count': 1}]"
Djo,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'name': 'bedroom pop', 'count': 1}, {'count': 2, 'name': 'indie pop'}, {'count': 2, 'name': 'indie rock'}, {'count': 2, 'name': 'neo-psychedelia'}, {'name': 'psychedelic pop', 'count': 1}, {'name': 'synthpop', 'count': 1}]"
Myles Smith,,Person,Male,"{'votes-count': 0, 'value': None}",[]
Artemas,GB,Person,Male,"{'value': None, 'votes-count': 0}",[]
The Police,GB,Group,,"{'value': 4.4, 'votes-count': 12}","[{'count': 1, 'name': '2008 universal fire victim'}, {'count': 1, 'name': 'alternative rock'}, {'count': 1, 'name': 'indie rock'}, {'count': 7, 'name': 'new wave'}, {'count': 5, 'name': 'pop rock'}, {'count': 3, 'name': 'post-punk'}, {'count': 1, 'name': 'punk'}, {'name': 'reggae rock', 'count': 1}, {'count': 6, 'name': 'rock'}]"
Linkin Park,US,Group,,"{'votes-count': 40, 'value': 4.35}","[{'count': 3, 'name': 'alt rock'}, {'name': 'alternative metal', 'count': 2}, {'name': 'alternative rock', 'count': 3}, {'count': 2, 'name': 'american'}, {'name': 'art rock', 'count': 1}, {'name': 'electropop', 'count': 1}, {'name': 'metal', 'count': 10}, {'name': 'nu metal', 'count': 24}, {'name': 'pop rock', 'count': 1}, {'count': 4, 'name': 'rap metal'}, {'count': 10, 'name': 'rap rock'}, {'name': 'rapcore', 'count': 2}, {'name': 'rock', 'count': 12}, {'count': 1, 'name': 'usa'}]"
Bad Bunny,PR,Person,Male,"{'value': 4.65, 'votes-count': 3}","[{'count': 1, 'name': 'hip hop'}, {'count': 1, 'name': 'latin'}, {'name': 'latin trap', 'count': 3}, {'name': 'latin urban', 'count': 2}, {'name': 'reggaeton', 'count': 2}, {'name': 'spanish', 'count': 1}, {'count': 1, 'name': 'trap latino'}]"
Creepy Nuts,JP,Group,,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'hip hop'}, {'count': 1, 'name': 'pop rap'}]"
Billie Eilish,US,Person,Female,"{'votes-count': 9, 'value': 3.65}","[{'count': 1, 'name': '2010s'}, {'count': 1, 'name': '2020s'}, {'count': 2, 'name': 'alt-pop'}, {'count': 12, 'name': 'alternative pop'}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'art pop', 'count': 3}, {'name': 'bedroom pop', 'count': 2}, {'name': 'contemporary r&b', 'count': 2}, {'count': 7, 'name': 'dark pop'}, {'count': 1, 'name': 'electronic'}, {'count': 11, 'name': 'electropop'}, {'count': 2, 'name': 'indie pop'}, {'count': 3, 'name': 'pity pop'}, {'count': 6, 'name': 'pop'}, {'name': 'pop rock', 'count': 1}, {'name': 'queer', 'count': 1}, {'count': 3, 'name': 'singer-songwriter'}]"
Coldplay,GB,Group,,"{'value': 4.15, 'votes-count': 41}","[{'count': 31, 'name': 'alternative rock'}, {'count': 1, 'name': 'art pop'}, {'name': 'big music', 'count': 1}, {'name': 'british', 'count': 11}, {'name': 'britpop', 'count': 1}, {'name': 'dream pop', 'count': 1}, {'count': 2, 'name': 'piano rock'}, {'count': 11, 'name': 'pop'}, {'count': 9, 'name': 'pop rock'}, {'name': 'post-britpop', 'count': 2}, {'count': 4, 'name': 'rock'}, {'count': 2, 'name': 'uk'}]"
The Weeknd,CA,Person,Male,"{'votes-count': 7, 'value': 4.85}","[{'name': '2010s', 'count': 2}, {'name': '2020s', 'count': 2}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'contemporary r&b', 'count': 5}, {'name': 'dance-pop', 'count': 3}, {'count': 1, 'name': 'hypnagogic pop'}, {'count': 7, 'name': 'r&b'}, {'count': 3, 'name': 'synth-pop'}]"
Ariana Grande,US,Person,Female,"{'value': 4.25, 'votes-count': 11}","[{'count': 2, 'name': 'contemporary r&b'}, {'count': 3, 'name': 'dance-pop'}, {'count': 18, 'name': 'pop'}, {'name': 'r&b', 'count': 5}, {'name': 'trap soul', 'count': 1}]"
The Pogues,GB,Group,,"{'votes-count': 5, 'value': 4.2}","[{'name': 'celtic folk music', 'count': 3}, {'count': 6, 'name': 'celtic punk'}, {'name': 'celtic rock', 'count': 3}, {'count': 2, 'name': 'folk'}, {'name': 'folk pop', 'count': 1}, {'name': 'folk punk', 'count': 1}, {'name': 'folk rock', 'count': 3}, {'name': 'irish folk', 'count': 1}]"
Kirsty MacColl,GB,Person,Female,"{'votes-count': 1, 'value': 3}","[{'name': 'british', 'count': 1}, {'name': 'classic pop and rock', 'count': 1}, {'count': 1, 'name': 'english'}, {'name': 'pop rock', 'count': 1}, {'name': 'uk', 'count': 2}]"
Bruno Mars,US,Person,Male,"{'value': 3.75, 'votes-count': 4}","[{'name': '2010s', 'count': 1}, {'count': 4, 'name': 'funk'}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'count': 2, 'name': 'r&b'}, {'count': 1, 'name': 'relic inn'}, {'count': 1, 'name': 'rock'}, {'count': 1, 'name': 'soul'}]"
Frank Sinatra,US,Person,Male,"{'votes-count': 10, 'value': 4.1}","[{'count': 2, 'name': 'big band'}, {'name': 'christmas', 'count': 1}, {'count': 2, 'name': 'christmas music'}, {'count': 1, 'name': 'easy listening'}, {'name': 'jazz', 'count': 9}, {'count': 2, 'name': 'standards'}, {'count': 7, 'name': 'swing'}, {'count': 4, 'name': 'traditional pop'}, {'name': 'vocal', 'count': 1}, {'count': 5, 'name': 'vocal jazz'}]"
Travis Scott,US,Person,Male,"{'value': 5, 'votes-count': 1}","[{'name': 'english', 'count': 1}, {'name': 'experimental hip hop', 'count': 1}, {'name': 'hip hop', 'count': 7}, {'count': 1, 'name': 'pop rap'}, {'name': 'rap', 'count': 2}, {'name': 'southern hip hop', 'count': 2}, {'count': 6, 'name': 'trap'}]"
Playboi Carti,US,Person,Male,"{'votes-count': 1, 'value': 4}","[{'count': 3, 'name': 'cloud rap'}, {'name': 'english', 'count': 2}, {'name': 'hip hop', 'count': 6}, {'name': 'plugg', 'count': 3}, {'count': 2, 'name': 'rage'}, {'name': 'rap', 'count': 4}, {'name': 'southern hip hop', 'count': 4}, {'name': 'trap', 'count': 5}]"
Bruno Mars,US,Person,Male,"{'value': 3.75, 'votes-count': 4}","[{'count': 1, 'name': '2010s'}, {'name': 'funk', 'count': 4}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'count': 2, 'name': 'r&b'}, {'count': 1, 'name': 'relic inn'}, {'count': 1, 'name': 'rock'}, {'name': 'soul', 'count': 1}]"
Coldplay,GB,Group,,"{'value': 4.15, 'votes-count': 41}","[{'name': 'alternative rock', 'count': 31}, {'name': 'art pop', 'count': 1}, {'name': 'big music', 'count': 1}, {'name': 'british', 'count': 11}, {'count': 1, 'name': 'britpop'}, {'name': 'dream pop', 'count': 1}, {'name': 'piano rock', 'count': 2}, {'name': 'pop', 'count': 11}, {'name': 'pop rock', 'count': 9}, {'count': 2, 'name': 'post-britpop'}, {'count': 4, 'name': 'rock'}, {'count': 2, 'name': 'uk'}]"
SZA,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'name': 'alternative r&b', 'count': 1}, {'name': 'american', 'count': 1}, {'name': 'contemporary r&b', 'count': 2}, {'count': 1, 'name': 'electronic'}, {'count': 1, 'name': 'hip hop soul'}, {'name': 'neo soul', 'count': 1}, {'count': 1, 'name': 'pop'}, {'count': 2, 'name': 'r&b'}]"
Gene Autry,US,Person,Male,"{'value': 4, 'votes-count': 1}","[{'name': 'christmas music', 'count': 1}, {'count': 3, 'name': 'country'}, {'count': 1, 'name': 'country yodeling'}, {'count': 2, 'name': 'cowboy'}, {'name': 'hillbilly', 'count': 1}, {'count': 1, 'name': 'holiday music'}, {'count': 1, 'name': 'traditional country'}, {'count': 1, 'name': 'western'}]"
The Pinafores,US,Group,,"{'votes-count': 0, 'value': None}",[]
Chappell Roan,US,Person,Female,"{'value': 5, 'votes-count': 2}","[{'count': 4, 'name': 'alternative pop'}, {'count': 4, 'name': 'dance-pop'}, {'name': 'gay pop', 'count': 2}, {'count': 3, 'name': 'indie pop'}, {'count': 3, 'name': 'pop'}, {'name': 'queer', 'count': 7}, {'name': 'synth-pop', 'count': 6}]"
Morgan Wallen,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'name': 'country', 'count': 2}, {'name': 'country pop', 'count': 1}]"
Arctic Monkeys,GB,Group,,"{'value': 4.3, 'votes-count': 18}","[{'count': 7, 'name': 'alternative rock'}, {'count': 1, 'name': 'art rock'}, {'name': 'baroque pop', 'count': 3}, {'count': 5, 'name': 'british'}, {'name': 'garage rock', 'count': 1}, {'name': 'garage rock revival', 'count': 7}, {'name': 'indie rock', 'count': 17}, {'name': 'neo-psychedelia', 'count': 2}, {'count': 6, 'name': 'post-punk revival'}, {'count': 1, 'name': 'psychedelic pop'}, {'name': 'psychedelic rock', 'count': 1}, {'name': 'sheffield', 'count': 2}, {'name': 'uk', 'count': 2}]"
The Goo Goo Dolls,US,Group,,"{'votes-count': 4, 'value': 4.25}","[{'name': ""'"", 'count': 1}, {'name': 'acoustic rock', 'count': 2}, {'name': 'alternative rock', 'count': 5}, {'count': 1, 'name': 'electropop'}, {'count': 2, 'name': 'hardcore punk'}, {'count': 2, 'name': 'jangle pop'}, {'count': 2, 'name': 'pop punk'}, {'count': 2, 'name': 'pop rock'}, {'name': 'post-grunge', 'count': 2}, {'name': 'power pop', 'count': 2}, {'count': 2, 'name': 'punk rock'}, {'name': 'soft rock', 'count': 2}, {'count': 1, 'name': 'synth-pop'}]"
Miley Cyrus,US,Person,Non-binary,"{'votes-count': 13, 'value': 3.6}","[{'name': '2010s', 'count': 1}, {'name': 'contemporary r&b', 'count': 1}, {'name': 'dance-pop', 'count': 1}, {'count': 1, 'name': 'electropop'}, {'name': 'pop', 'count': 11}, {'count': 5, 'name': 'pop rock'}, {'name': 'power pop', 'count': 2}, {'name': 'queer', 'count': 2}, {'name': 'rock', 'count': 6}, {'count': 1, 'name': 'teen pop'}]"
Cris MJ,,Person,Male,"{'votes-count': 0, 'value': None}",[]
Tom Odell,GB,Person,Male,"{'value': None, 'votes-count': 0}","[{'name': 'indie folk', 'count': 1}, {'name': 'indie pop', 'count': 1}, {'name': 'singer-songwriter', 'count': 1}]"
GloRilla,US,Person,Female,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': 'hip hop'}, {'count': 1, 'name': 'southern hip hop'}, {'count': 1, 'name': 'trap'}]"
Sexyy Red,US,Person,Female,"{'value': None, 'votes-count': 0}","[{'name': 'hip hop', 'count': 1}, {'count': 1, 'name': 'trap'}]"
Vance Joy,AU,Person,Male,"{'votes-count': 2, 'value': 5}","[{'name': 'alternative rock', 'count': 1}, {'count': 1, 'name': 'folk pop'}, {'name': 'indie folk', 'count': 3}, {'name': 'indie pop', 'count': 3}, {'name': 'singer-songwriter', 'count': 1}]"
Noah Kahan,US,Person,Male,"{'value': None, 'votes-count': 0}","[{'name': 'folk pop', 'count': 3}, {'count': 2, 'name': 'pop'}]"
Dean Martin,US,Person,Male,"{'value': 3.65, 'votes-count': 6}","[{'count': 1, 'name': 'big band'}, {'count': 1, 'name': 'christmas music'}, {'name': 'country pop', 'count': 1}, {'count': 4, 'name': 'pop'}, {'count': 1, 'name': 'standards'}, {'count': 1, 'name': 'traditional pop'}, {'name': 'vocal jazz', 'count': 1}]"
JENNIE,KR,Person,Female,"{'value': None, 'votes-count': 0}","[{'name': 'k-pop', 'count': 3}]"
Ed Sheeran,GB,Person,Male,"{'votes-count': 5, 'value': 4.4}","[{'name': '2010s', 'count': 1}, {'name': 'dance-pop', 'count': 3}, {'count': 3, 'name': 'folk'}, {'count': 5, 'name': 'folk pop'}, {'count': 2, 'name': 'guitarist'}, {'count': 2, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 9}, {'count': 2, 'name': 'singer'}, {'count': 2, 'name': 'singer-songwriter'}, {'count': 2, 'name': 'uk'}]"
Linkin Park,US,Group,,"{'votes-count': 40, 'value': 4.35}","[{'name': 'alt rock', 'count': 3}, {'name': 'alternative metal', 'count': 2}, {'name': 'alternative rock', 'count': 3}, {'name': 'american', 'count': 2}, {'count': 1, 'name': 'art rock'}, {'count': 1, 'name': 'electropop'}, {'name': 'metal', 'count': 10}, {'count': 24, 'name': 'nu metal'}, {'name': 'pop rock', 'count': 1}, {'count': 4, 'name': 'rap metal'}, {'count': 10, 'name': 'rap rock'}, {'name': 'rapcore', 'count': 2}, {'count': 12, 'name': 'rock'}, {'name': 'usa', 'count': 1}]"
The Kid LAROI,AU,Person,Male,"{'votes-count': 0, 'value': None}","[{'count': 2, 'name': 'emo rap'}, {'name': 'english', 'count': 1}, {'name': 'hip hop', 'count': 4}, {'name': 'pop rap', 'count': 1}, {'name': 'rap', 'count': 1}]"
Jin Jin,,,,"{'value': None, 'votes-count': 0}",[]
Dasha,US,Person,Female,"{'value': None, 'votes-count': 0}",[]
Donny Hathaway,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'count': 4, 'name': 'soul'}, {'name': ""you've got a friend"", 'count': 1}]"
The Weeknd,CA,Person,Male,"{'value': 4.85, 'votes-count': 7}","[{'name': '2010s', 'count': 2}, {'name': '2020s', 'count': 2}, {'name': 'alternative r&b', 'count': 4}, {'name': 'contemporary r&b', 'count': 5}, {'name': 'dance-pop', 'count': 3}, {'count': 1, 'name': 'hypnagogic pop'}, {'name': 'r&b', 'count': 7}, {'name': 'synth-pop', 'count': 3}]"
Sam Barber,,Person,Male,"{'value': None, 'votes-count': 0}",[]
Avery Anna,US,Person,Female,"{'votes-count': 0, 'value': None}",[]
